Source,Target,Type,Id,Label,Weight,movie_id
5099096,5097894,Undirected,854,181956,1,828
5099096,5102237,Undirected,855,181954,1,828
5098619,5098606,Undirected,856,181837,2,828
5098619,5099110,Undirected,857,181833,1,828
5098619,5099090,Undirected,858,181769,2,828
5098619,5098583,Undirected,859,181746,2,828
5098619,5098095,Undirected,860,181765,2,828
5098619,5101840,Undirected,861,181925,1,828
5098619,5100274,Undirected,862,181771,1,828
5098619,5100235,Undirected,863,181767,2,828
5098242,5102009,Undirected,864,181913,1,828
5098242,5101998,Undirected,865,181912,1,828
5098242,5101840,Undirected,866,181915,1,828
5098242,5098619,Undirected,867,181914,1,828
5098242,5101981,Undirected,868,181911,1,828
5098242,5098267,Undirected,869,181662,1,828
5101981,5102009,Undirected,870,181917,1,828
5101981,5101998,Undirected,871,181916,1,828
5101981,5097875,Undirected,872,182091,1,828
5101981,5101840,Undirected,873,181919,1,828
5101981,5097941,Undirected,874,182067,1,828
5101981,5098619,Undirected,875,181918,1,828
5098082,5098128,Undirected,876,181652,1,828
5098082,5098095,Undirected,877,181651,1,828
5098082,5098193,Undirected,878,181653,1,828
5098082,5098088,Undirected,879,181650,1,828
5098041,5106033,Undirected,880,182123,1,828
5098041,5097505,Undirected,881,181723,1,828
5098041,5096969,Undirected,882,181721,1,828
5098041,5098619,Undirected,883,181761,1,828
5098041,5097316,Undirected,884,181720,5,828
5098041,5099267,Undirected,885,181719,1,828
5103330,5097316,Undirected,886,182026,1,828
5101750,5101041,Undirected,887,181977,1,828
5101750,5098545,Undirected,888,181976,1,828
5097915,5097979,Undirected,889,181641,1,828
5097915,5097941,Undirected,890,181640,1,828
5097915,5097994,Undirected,891,181642,1,828
5097915,5098041,Undirected,892,181643,1,828
5097316,5098606,Undirected,893,181844,4,828
5097316,5099349,Undirected,894,181884,1,828
5097316,5097979,Undirected,895,181626,1,828
5097316,5101285,Undirected,896,181882,2,828
5097316,5099090,Undirected,897,181699,4,828
5097316,5106033,Undirected,898,182120,1,828
5097316,5098583,Undirected,899,181843,1,828
5097316,5098095,Undirected,900,181701,19,828
5097316,5101840,Undirected,901,181901,1,828
5097316,5096969,Undirected,902,181724,5,828
5097316,5103072,Undirected,903,182117,1,828
5097316,5100274,Undirected,904,181782,1,828
5097316,5099096,Undirected,905,181700,2,828
5097316,5098619,Undirected,906,181755,5,828
5097316,5097915,Undirected,907,181624,1,828
5097316,5097320,Undirected,908,181599,1,828
5097316,5098267,Undirected,909,181692,1,828
5097316,5100235,Undirected,910,181778,1,828
5097316,5100134,Undirected,911,182029,2,828
5097316,5102237,Undirected,912,181945,1,828
5097316,5098717,Undirected,913,181854,2,828
5097316,5099267,Undirected,914,181718,1,828
5097316,5098417,Undirected,915,181666,1,828
5097316,5098463,Undirected,916,182110,1,828
5097894,5098606,Undirected,917,181802,3,828
5097894,5097875,Undirected,918,181686,5,828
5097894,5099110,Undirected,919,181798,1,828
5097894,5097979,Undirected,920,181637,1,828
5097894,5099090,Undirected,921,181800,1,828
5097894,5100327,Undirected,922,181795,1,828
5097894,5098583,Undirected,923,181744,2,828
5097894,5098095,Undirected,924,181793,3,828
5097894,5100274,Undirected,925,181792,1,828
5097894,5097994,Undirected,926,181638,1,828
5097894,5098619,Undirected,927,181743,4,828
5097894,5098041,Undirected,928,181639,2,828
5097894,5097915,Undirected,929,181635,1,828
5097894,5097316,Undirected,930,181687,6,828
5097894,5098545,Undirected,931,181745,1,828
5097894,5100134,Undirected,932,181972,1,828
5097894,5102237,Undirected,933,181971,1,828
5097894,5100333,Undirected,934,181796,1,828
5100235,5097875,Undirected,935,181783,1,828
5100235,5099090,Undirected,936,181784,1,828
5100235,5100274,Undirected,937,181786,1,828
5100235,5097894,Undirected,938,181785,1,828
5098545,5101041,Undirected,939,181978,2,828
5098545,5098128,Undirected,940,181671,1,828
5098545,5098541,Undirected,941,181874,1,828
5098545,5103242,Undirected,942,182056,1,828
5098545,5102267,Undirected,943,181929,2,828
5098545,5098095,Undirected,944,181937,1,828
5098545,5098619,Undirected,945,182057,1,828
5098545,5101981,Undirected,946,181968,1,828
5098545,5097316,Undirected,947,181938,1,828
5100134,5102992,Undirected,948,182005,1,828
5100134,5097941,Undirected,949,181859,1,828
5100134,5098463,Undirected,950,182006,1,828
5102690,5102992,Undirected,951,182003,1,828
5102690,5100134,Undirected,952,182002,1,828
5102690,5098717,Undirected,953,182051,1,828
5102690,5098463,Undirected,954,182004,1,828
5102237,5097941,Undirected,955,181960,1,828
5102237,5100134,Undirected,956,181975,1,828
5098088,5098128,Undirected,957,181655,1,828
5098088,5098095,Undirected,958,181654,1,828
5098088,5098193,Undirected,959,181656,1,828
5098717,5097875,Undirected,960,182090,1,828
5098717,5098128,Undirected,961,181868,2,828
5098717,5101981,Undirected,962,182089,1,828
5100333,5098606,Undirected,963,181832,1,828
5100333,5099110,Undirected,964,181828,1,828
5100333,5099090,Undirected,965,181830,1,828
5100333,5098583,Undirected,966,181831,1,828
5100333,5098619,Undirected,967,181827,1,828
5100333,5097316,Undirected,968,181829,1,828
5098463,5098606,Undirected,969,182031,1,828
5098463,5097875,Undirected,970,182034,1,828
5098463,5103789,Undirected,971,182035,1,828
5098463,5101061,Undirected,972,182032,1,828
5098463,5097941,Undirected,973,182033,1,828
5098463,5097994,Undirected,974,182112,1,828
5098463,5098041,Undirected,975,181667,1,828
5102939,5097875,Undirected,976,182000,1,828
5102939,5097894,Undirected,977,181999,1,828
